run,scenario,duration_s,transfer_mb,bitrate_mbps,jitter_ms,lost_datagrams,total_datagrams,loss_percent
1,no_bluetooth,"50,03",216,"36,2",2 075,2,155198,"0,0013"
2,no_bluetooth,"50,04",265,"44,4","0,283",0,190029,0
3,no_bluetooth,"50,01",322,"54,1","0,135",0,231617,0
4,no_bluetooth,"50,01",243,"40,8","0,186",2,174794,"0,0011"
5,no_bluetooth,"50,04",242,"40,6","0,74",0,173782,0
6,no_bluetooth,"50,05",265,"44,4","0,667",1,190420,"0,00053"
7,no_bluetooth,"50,01",251,"42,2","0,219",3,180623,"0,0017"
8,no_bluetooth,"50,03",279,"46,8","0,214",1,200662,"0,0005"
9,no_bluetooth,"50,02",235,"39,4","0,201",0,168657,0
10,no_bluetooth,"50,06",212,"35,6","0,551",0,152541,0
