run,scenario,duration_s,transfer_mb,bitrate_mbps,jitter_ms,lost_datagrams,total_datagrams,loss_percent
1,bluetooth_headphones,"50,06",103,"17,3",1 119,4,74182,"0,0054"
2,bluetooth_headphones,"50,05",101,"16,9","0,493",2,72523,"0,0028"
3,bluetooth_headphones,"50,15","83,8",14,2 179,0,60207,0
4,bluetooth_headphones,"50,04","91,2","15,3","0,485",0,65475,0
5,bluetooth_headphones,"50,06","76,4","12,8","0,891",0,54884,0
6,bluetooth_headphones,"50,05","66,9","11,2",1 939,10,48032,"0,021"
7,bluetooth_headphones,"50,11","89,5",15,1 369,1,64316,"0,0016"
8,bluetooth_headphones,"50,04",100,"16,8","0,95",3,71829,"0,0042"
9,bluetooth_headphones,"50,03","65,6",11,1 691,35,47128,"0,074"
10,bluetooth_headphones,"50,1","59,7",10,1 241,55,42960,"0,13"
