rng_run,bluetooth_enabled,distance_m,simulation_time_s,rx_packets,rx_bytes,throughput_mbps
1,0,3,10,57942,59332608,47.4661
1,1,3,10,22837,23385088,18.7081
2,0,3,10,57930,59320320,47.4563
2,1,3,10,22840,23388160,18.7105
3,0,3,10,57948,59338752,47.4710
3,1,3,10,683,699392,0.5595
4,0,3,10,57948,59338752,47.4710
4,1,3,10,23619,24185856,19.3487
5,0,3,10,57956,59346944,47.4776
5,1,3,10,82,83968,0.0672
6,0,3,10,57946,59336704,47.4694
6,1,3,10,22911,23460864,18.7687
7,0,3,10,57944,59334656,47.4677
7,1,3,10,21723,22244352,17.7955
8,0,3,10,57943,59333632,47.4669
8,1,3,10,160,163840,0.1311
9,0,3,10,57917,59307008,47.4456
9,1,3,10,21986,22513664,18.0109
10,0,3,10,57934,59324416,47.4595
10,1,3,10,23750,24320000,19.4560
