rng_run,bluetooth_enabled,distance_m,simulation_time_s,rx_packets,rx_bytes,throughput_mbps
1,0,3,50,302083,309332992,49.4933
1,1,3,50,124376,127361024,20.3778
2,0,3,50,302069,309318656,49.4910
2,1,3,50,127713,130778112,20.9245
4,0,3,50,302089,309339136,49.4943
4,1,3,50,102551,105012224,16.8020
6,0,3,50,302089,309339136,49.4943
6,1,3,50,129540,132648960,21.2238
7,0,3,50,302084,309334016,49.4934
7,1,3,50,125146,128149504,20.5039
9,0,3,50,302059,309308416,49.4893
9,1,3,50,117596,120418304,19.2669
10,0,3,50,302075,309324800,49.4920
10,1,3,50,123634,126601216,20.2562
12,0,3,50,302078,309327872,49.4925
12,1,3,50,129,132096,0.0211
13,0,3,50,302066,309315584,49.4905
13,1,3,50,112690,115394560,18.4631
14,0,3,50,302114,309364736,49.4984
14,1,3,50,110762,113420288,18.1472
16,0,3,50,302077,309326848,49.4923
16,1,3,50,136168,139436032,22.3098
17,0,3,50,302065,309314560,49.4903
17,1,3,50,134653,137884672,22.0615
18,0,3,50,302059,309308416,49.4893
18,1,3,50,371,379904,0.0608
20,0,3,50,302060,309309440,49.4895
20,1,3,50,113751,116481024,18.6370
22,0,3,50,302111,309361664,49.4979
22,1,3,50,128079,131152896,20.9845
24,0,3,50,302072,309321728,49.4915
24,1,3,50,118785,121635840,19.4617
25,0,3,50,302101,309351424,49.4962
25,1,3,50,113592,116318208,18.6109
26,0,3,50,302114,309364736,49.4984
26,1,3,50,129656,132767744,21.2428
28,0,3,50,302072,309321728,49.4915
28,1,3,50,121375,124288000,19.8861
30,0,3,50,302114,309364736,49.4984
30,1,3,50,132491,135670784,21.7073
