rng_run,bluetooth_enabled,distance_m,simulation_time_s,rx_packets,rx_bytes,throughput_mbps
145,0,10,10,235453,241103872,192.8831
145,1,10,10,192442,197060608,157.6485
146,0,10,10,235510,241162240,192.9298
146,1,10,10,192222,196835328,157.4683
147,0,10,10,235485,241136640,192.9093
147,1,10,10,193128,197763072,158.2105
148,0,10,10,235380,241029120,192.8233
148,1,10,10,192586,197208064,157.7665
149,0,10,10,235435,241085440,192.8684
149,1,10,10,192519,197139456,157.7116
150,0,10,10,235519,241171456,192.9372
150,1,10,10,193164,197799936,158.2399
151,0,10,10,235531,241183744,192.9470
151,1,10,10,192877,197506048,158.0048
152,0,10,10,235468,241119232,192.8954
152,1,10,10,193253,197891072,158.3129
153,0,10,10,235290,240936960,192.7496
153,1,10,10,192493,197112832,157.6903
154,0,10,10,235399,241048576,192.8389
154,1,10,10,192557,197178368,157.7427
155,0,10,10,235371,241019904,192.8159
155,1,10,10,192652,197275648,157.8205
