rng_run,bluetooth_enabled,distance_m,simulation_time_s,rx_packets,rx_bytes,throughput_mbps
1,0,10,10,235313,240960512,192.7684
1,1,10,10,192825,197452800,157.9622
2,0,10,10,235344,240992256,192.7938
2,1,10,10,193248,197885952,158.3088
3,0,10,10,235411,241060864,192.8487
3,1,10,10,192732,197357568,157.8861
4,0,10,10,235351,240999424,192.7995
4,1,10,10,193128,197763072,158.2105
5,0,10,10,235444,241094656,192.8757
5,1,10,10,193005,197637120,158.1097
6,0,10,10,235410,241059840,192.8479
6,1,10,10,192216,196829184,157.4633
7,0,10,10,235384,241033216,192.8266
7,1,10,10,192695,197319680,157.8557
8,0,10,10,235213,240858112,192.6865
8,1,10,10,192632,197255168,157.8041
9,0,10,10,235390,241039360,192.8315
9,1,10,10,270,276480,0.2212
10,0,10,10,235404,241053696,192.8430
10,1,10,10,172596,176738304,141.3906
11,0,10,10,235601,241255424,193.0043
11,1,10,10,192381,196998144,157.5985
12,0,10,10,235414,241063936,192.8511
12,1,10,10,192799,197426176,157.9409
13,0,10,10,235292,240939008,192.7512
13,1,10,10,192558,197179392,157.7435
14,0,10,10,235434,241084416,192.8675
14,1,10,10,193583,198228992,158.5832
15,0,10,10,235544,241197056,192.9576
15,1,10,10,193315,197954560,158.3636
16,0,10,10,235471,241122304,192.8978
16,1,10,10,172635,176778240,141.4226
17,0,10,10,235349,240997376,192.7979
17,1,10,10,192840,197468160,157.9745
18,0,10,10,235325,240972800,192.7782
18,1,10,10,193087,197721088,158.1769
19,0,10,10,235576,241229824,192.9839
19,1,10,10,192826,197453824,157.9631
20,0,10,10,235310,240957440,192.7660
20,1,10,10,192871,197499904,157.9999
